mouse_button_1,mouse_button_3,mouse_X,mouse_Y
0.0,0.0,1539,555
0.0,0.0,1599,467
0.0,0.0,1599,405
0.0,0.0,1599,389
0.0,0.0,1599,372
0.0,0.0,1599,365
0.0,0.0,1599,364
0.0,0.0,1599,363
0.0,0.0,1599,363
0.0,0.0,1599,363
0.0,0.0,1599,360
0.0,0.0,1599,347
0.0,0.0,1599,338
0.0,0.0,1599,320
0.0,0.0,1599,306
0.0,0.0,1599,293
0.0,0.0,1599,290
0.0,0.0,1599,288
1.0,0.0,1599,288
1.0,0.0,1599,288
1.0,0.0,1599,288
1.0,0.0,1599,288
1.0,0.0,1599,288
1.0,0.0,1599,288
1.0,0.0,1599,288
1.0,0.0,1599,288
1.0,0.0,1599,288
1.0,0.0,1598,288
1.0,0.0,1598,287
1.0,0.0,1598,281
1.0,0.0,1597,273
1.0,0.0,1596,270
1.0,0.0,1595,265
1.0,0.0,1594,262
1.0,0.0,1593,260
1.0,0.0,1593,260
1.0,0.0,1592,260
0.0,0.0,1589,260
0.0,0.0,1589,260
0.0,0.0,1589,260
0.0,0.0,1589,260
0.0,0.0,1589,260
0.0,0.0,1589,260
0.0,0.0,1589,260
0.0,0.0,1589,260
0.0,0.0,1555,260
0.0,0.0,1340,278
0.0,0.0,1191,299
0.0,0.0,1063,320
0.0,0.0,1035,324
0.0,0.0,1029,324
0.0,0.0,1029,323
0.0,0.0,1029,322
0.0,0.0,1029,322
0.0,0.0,1029,322
0.0,0.0,1029,322
0.0,0.0,1029,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
0.0,0.0,1030,322
